timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/09/22 14:19:18.947, 0, 96 %, 4 %, 4811 MiB, 143771 MiB, 184.40 W
2026/09/22 14:19:19.197, 0, 97 %, 4 %, 5379 MiB, 143771 MiB, 183.80 W
2026/09/22 14:19:19.447, 0, 97 %, 4 %, 4811 MiB, 143771 MiB, 183.78 W
2026/09/22 14:19:19.697, 0, 89 %, 4 %, 4811 MiB, 143771 MiB, 178.67 W
2026/09/22 14:19:19.947, 0, 97 %, 4 %, 4811 MiB, 143771 MiB, 179.12 W
2026/09/22 14:19:20.197, 0, 97 %, 4 %, 4811 MiB, 143771 MiB, 179.28 W
2026/09/22 14:19:20.447, 0, 97 %, 4 %, 4811 MiB, 143771 MiB, 180.63 W
2026/09/22 14:19:20.697, 0, 97 %, 4 %, 4811 MiB, 143771 MiB, 185.39 W
2026/09/22 14:19:20.948, 0, 97 %, 4 %, 4811 MiB, 143771 MiB, 184.91 W
2026/09/22 14:19:21.198, 0, 97 %, 4 %, 4811 MiB, 143771 MiB, 184.65 W
2026/09/22 14:19:21.448, 0, 97 %, 4 %, 4811 MiB, 143771 MiB, 185.48 W
2026/09/22 14:19:21.698, 0, 97 %, 4 %, 4811 MiB, 143771 MiB, 186.22 W
2026/09/22 14:19:21.948, 0, 97 %, 4 %, 4811 MiB, 143771 MiB, 186.27 W
2026/09/22 14:19:22.198, 0, 97 %, 4 %, 4811 MiB, 143771 MiB, 186.94 W
2026/09/22 14:19:22.448, 0, 97 %, 4 %, 4811 MiB, 143771 MiB, 187.59 W
2026/09/22 14:19:22.698, 0, 97 %, 4 %, 4811 MiB, 143771 MiB, 187.32 W
2026/09/22 14:19:22.949, 0, 97 %, 4 %, 4811 MiB, 143771 MiB, 187.42 W
2026/09/22 14:19:23.199, 0, 97 %, 4 %, 4811 MiB, 143771 MiB, 187.06 W
2026/09/22 14:19:23.449, 0, 96 %, 4 %, 4811 MiB, 143771 MiB, 185.75 W
