timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/09/22 13:45:18.434, 0, 0 %, 0 %, 120 MiB, 143771 MiB, 78.40 W
2026/09/22 13:45:18.686, 0, 0 %, 0 %, 120 MiB, 143771 MiB, 78.15 W
2026/09/22 13:45:18.977, 0, 0 %, 0 %, 120 MiB, 143771 MiB, 78.08 W
2026/09/22 13:45:19.235, 0, 0 %, 0 %, 120 MiB, 143771 MiB, 78.01 W
2026/09/22 13:45:19.496, 0, 0 %, 0 %, 120 MiB, 143771 MiB, 78.00 W
2026/09/22 13:45:19.747, 0, 0 %, 0 %, 120 MiB, 143771 MiB, 78.01 W
2026/09/22 13:45:19.997, 0, 0 %, 0 %, 138 MiB, 143771 MiB, 78.56 W
2026/09/22 13:45:20.250, 0, 0 %, 0 %, 139 MiB, 143771 MiB, 90.74 W
2026/09/22 13:45:20.511, 0, 0 %, 0 %, 139 MiB, 143771 MiB, 98.85 W
2026/09/22 13:45:20.763, 0, 0 %, 0 %, 139 MiB, 143771 MiB, 110.36 W
2026/09/22 13:45:21.016, 0, 0 %, 0 %, 139 MiB, 143771 MiB, 118.41 W
2026/09/22 13:45:21.275, 0, 0 %, 0 %, 139 MiB, 143771 MiB, 118.63 W
2026/09/22 13:45:21.525, 0, 0 %, 0 %, 645 MiB, 143771 MiB, 118.68 W
2026/09/22 13:45:21.775, 0, 1 %, 0 %, 669 MiB, 143771 MiB, 118.72 W
2026/09/22 13:45:22.026, 0, 0 %, 0 %, 669 MiB, 143771 MiB, 118.69 W
2026/09/22 13:45:22.276, 0, 0 %, 0 %, 669 MiB, 143771 MiB, 118.66 W
2026/09/22 13:45:22.526, 0, 0 %, 0 %, 807 MiB, 143771 MiB, 118.64 W
2026/09/22 13:45:22.776, 0, 1 %, 0 %, 839 MiB, 143771 MiB, 118.64 W
2026/09/22 13:45:23.033, 0, 2 %, 0 %, 893 MiB, 143771 MiB, 119.23 W
2026/09/22 13:45:23.393, 0, 7 %, 0 %, 1015 MiB, 143771 MiB, 119.32 W
2026/09/22 13:45:23.643, 0, 1 %, 0 %, 1037 MiB, 143771 MiB, 119.40 W
2026/09/22 13:45:23.894, 0, 3 %, 0 %, 1037 MiB, 143771 MiB, 119.38 W
2026/09/22 13:45:24.146, 0, 0 %, 0 %, 1061 MiB, 143771 MiB, 118.98 W
2026/09/22 13:45:24.431, 0, 2 %, 0 %, 1061 MiB, 143771 MiB, 118.95 W
2026/09/22 13:45:24.682, 0, 5 %, 0 %, 999 MiB, 143771 MiB, 119.68 W
2026/09/22 13:45:24.934, 0, 19 %, 1 %, 1089 MiB, 143771 MiB, 120.26 W
2026/09/22 13:45:25.184, 0, 19 %, 1 %, 1607 MiB, 143771 MiB, 121.38 W
2026/09/22 13:45:25.434, 0, 20 %, 1 %, 1313 MiB, 143771 MiB, 122.22 W
2026/09/22 13:45:25.685, 0, 21 %, 1 %, 1981 MiB, 143771 MiB, 122.75 W
2026/09/22 13:45:25.935, 0, 14 %, 0 %, 1481 MiB, 143771 MiB, 122.73 W
2026/09/22 13:45:26.187, 0, 11 %, 0 %, 2229 MiB, 143771 MiB, 122.36 W
2026/09/22 13:45:26.446, 0, 1 %, 0 %, 1549 MiB, 143771 MiB, 121.52 W
2026/09/22 13:45:26.706, 0, 17 %, 0 %, 2371 MiB, 143771 MiB, 120.78 W
2026/09/22 13:45:26.991, 0, 0 %, 0 %, 2371 MiB, 143771 MiB, 119.97 W
2026/09/22 13:45:27.242, 0, 18 %, 1 %, 2527 MiB, 143771 MiB, 120.15 W
2026/09/22 13:45:27.501, 0, 3 %, 0 %, 2699 MiB, 143771 MiB, 120.19 W
2026/09/22 13:45:27.752, 0, 21 %, 1 %, 2889 MiB, 143771 MiB, 120.78 W
2026/09/22 13:45:28.002, 0, 19 %, 1 %, 3099 MiB, 143771 MiB, 121.71 W
2026/09/22 13:45:28.252, 0, 14 %, 0 %, 3329 MiB, 143771 MiB, 121.79 W
2026/09/22 13:45:28.502, 0, 29 %, 1 %, 2125 MiB, 143771 MiB, 123.10 W
2026/09/22 13:45:28.752, 0, 20 %, 1 %, 2257 MiB, 143771 MiB, 123.75 W
2026/09/22 13:45:29.003, 0, 25 %, 1 %, 3859 MiB, 143771 MiB, 123.58 W
2026/09/22 13:45:29.368, 0, 11 %, 0 %, 4165 MiB, 143771 MiB, 122.51 W
2026/09/22 13:45:29.626, 0, 21 %, 1 %, 4165 MiB, 143771 MiB, 122.58 W
2026/09/22 13:45:29.879, 0, 0 %, 0 %, 4165 MiB, 143771 MiB, 121.91 W
