timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W]
2026/09/23 13:27:41.788, 0, 0 %, 0 %, 107 MiB, 43.47 W
2026/09/23 13:27:41.789, 1, 0 %, 0 %, 107 MiB, 42.47 W
2026/09/23 13:27:41.791, 2, 0 %, 0 %, 107 MiB, 43.55 W
2026/09/23 13:27:41.792, 3, 0 %, 0 %, 107 MiB, 42.49 W
2026/09/23 13:27:42.794, 0, 0 %, 0 %, 421 MiB, 60.88 W
2026/09/23 13:27:42.796, 1, 0 %, 0 %, 421 MiB, 58.90 W
2026/09/23 13:27:42.797, 2, 2 %, 0 %, 421 MiB, 59.05 W
2026/09/23 13:27:42.798, 3, 1 %, 0 %, 421 MiB, 59.91 W
2026/09/23 13:27:43.800, 0, 0 %, 0 %, 429 MiB, 60.88 W
2026/09/23 13:27:43.801, 1, 0 %, 0 %, 429 MiB, 58.90 W
2026/09/23 13:27:43.802, 2, 0 %, 0 %, 429 MiB, 59.05 W
2026/09/23 13:27:43.803, 3, 0 %, 0 %, 429 MiB, 60.40 W
2026/09/23 13:27:44.805, 0, 26 %, 2 %, 611 MiB, 61.37 W
2026/09/23 13:27:44.806, 1, 27 %, 2 %, 735 MiB, 59.35 W
2026/09/23 13:27:44.808, 2, 25 %, 2 %, 611 MiB, 60.03 W
2026/09/23 13:27:44.809, 3, 25 %, 2 %, 611 MiB, 60.84 W
2026/09/23 13:27:45.811, 0, 28 %, 2 %, 955 MiB, 62.30 W
2026/09/23 13:27:45.812, 1, 25 %, 2 %, 955 MiB, 58.86 W
2026/09/23 13:27:45.813, 2, 25 %, 2 %, 955 MiB, 59.54 W
2026/09/23 13:27:45.814, 3, 25 %, 2 %, 955 MiB, 60.84 W
2026/09/23 13:27:46.817, 0, 27 %, 3 %, 1167 MiB, 61.37 W
2026/09/23 13:27:46.818, 1, 23 %, 1 %, 849 MiB, 58.90 W
2026/09/23 13:27:46.819, 2, 24 %, 2 %, 849 MiB, 59.54 W
2026/09/23 13:27:46.820, 3, 24 %, 1 %, 1167 MiB, 60.84 W
2026/09/23 13:27:47.823, 0, 32 %, 3 %, 963 MiB, 61.85 W
2026/09/23 13:27:47.824, 1, 24 %, 1 %, 963 MiB, 58.86 W
2026/09/23 13:27:47.826, 2, 22 %, 1 %, 963 MiB, 60.51 W
2026/09/23 13:27:47.827, 3, 28 %, 3 %, 1385 MiB, 60.84 W
2026/09/23 13:27:48.829, 0, 21 %, 1 %, 1061 MiB, 61.81 W
2026/09/23 13:27:48.830, 1, 26 %, 1 %, 1061 MiB, 59.35 W
2026/09/23 13:27:48.831, 2, 23 %, 2 %, 1061 MiB, 60.03 W
2026/09/23 13:27:48.832, 3, 23 %, 1 %, 1061 MiB, 60.84 W
2026/09/23 13:27:49.835, 0, 23 %, 2 %, 1179 MiB, 61.81 W
2026/09/23 13:27:49.836, 1, 20 %, 1 %, 1179 MiB, 59.35 W
2026/09/23 13:27:49.837, 2, 21 %, 2 %, 1179 MiB, 60.03 W
2026/09/23 13:27:49.838, 3, 21 %, 1 %, 1179 MiB, 60.36 W
2026/09/23 13:27:50.840, 0, 25 %, 1 %, 2069 MiB, 61.37 W
2026/09/23 13:27:50.841, 1, 24 %, 1 %, 1321 MiB, 59.83 W
2026/09/23 13:27:50.842, 2, 21 %, 1 %, 2069 MiB, 59.54 W
2026/09/23 13:27:50.843, 3, 29 %, 3 %, 2069 MiB, 60.84 W
2026/09/23 13:27:51.846, 0, 6 %, 0 %, 1403 MiB, 61.81 W
2026/09/23 13:27:51.847, 1, 33 %, 2 %, 1403 MiB, 59.35 W
2026/09/23 13:27:51.848, 2, 23 %, 1 %, 1403 MiB, 60.03 W
2026/09/23 13:27:51.850, 3, 26 %, 2 %, 1403 MiB, 61.33 W
2026/09/23 13:27:52.853, 0, 40 %, 5 %, 2587 MiB, 61.37 W
2026/09/23 13:27:52.854, 1, 30 %, 4 %, 2587 MiB, 59.35 W
2026/09/23 13:27:52.855, 2, 32 %, 4 %, 2587 MiB, 60.03 W
2026/09/23 13:27:52.856, 3, 31 %, 2 %, 2587 MiB, 61.81 W
2026/09/23 13:27:53.858, 0, 31 %, 4 %, 2797 MiB, 61.33 W
2026/09/23 13:27:53.859, 1, 24 %, 1 %, 2797 MiB, 59.35 W
2026/09/23 13:27:53.861, 2, 21 %, 1 %, 2797 MiB, 59.54 W
2026/09/23 13:27:53.862, 3, 39 %, 5 %, 2797 MiB, 60.84 W
2026/09/23 13:27:54.864, 0, 31 %, 2 %, 1921 MiB, 60.88 W
2026/09/23 13:27:54.865, 1, 17 %, 1 %, 1923 MiB, 58.90 W
2026/09/23 13:27:54.866, 2, 16 %, 1 %, 1921 MiB, 59.54 W
2026/09/23 13:27:54.867, 3, 38 %, 2 %, 1921 MiB, 60.40 W
2026/09/23 13:27:55.869, 0, 91 %, 24 %, 2189 MiB, 114.64 W
2026/09/23 13:27:55.871, 1, 93 %, 24 %, 2189 MiB, 108.21 W
2026/09/23 13:27:55.872, 2, 90 %, 24 %, 2195 MiB, 107.26 W
2026/09/23 13:27:55.873, 3, 90 %, 24 %, 2189 MiB, 114.64 W
2026/09/23 13:27:56.875, 0, 93 %, 25 %, 2189 MiB, 120.92 W
2026/09/23 13:27:56.876, 1, 94 %, 25 %, 2189 MiB, 116.82 W
2026/09/23 13:27:56.877, 2, 95 %, 24 %, 2195 MiB, 116.40 W
2026/09/23 13:27:56.879, 3, 93 %, 25 %, 2189 MiB, 122.77 W
2026/09/23 13:27:57.882, 0, 93 %, 26 %, 2231 MiB, 118.91 W
2026/09/23 13:27:57.883, 1, 94 %, 26 %, 2233 MiB, 111.26 W
2026/09/23 13:27:57.885, 2, 94 %, 25 %, 2195 MiB, 115.43 W
2026/09/23 13:27:57.886, 3, 94 %, 26 %, 2231 MiB, 122.29 W
2026/09/23 13:27:58.888, 0, 45 %, 1 %, 2231 MiB, 123.74 W
2026/09/23 13:27:58.890, 1, 34 %, 3 %, 2233 MiB, 119.15 W
2026/09/23 13:27:58.891, 2, 42 %, 3 %, 2239 MiB, 118.74 W
2026/09/23 13:27:58.892, 3, 39 %, 2 %, 2231 MiB, 125.10 W
2026/09/23 13:27:59.894, 0, 93 %, 26 %, 2231 MiB, 126.15 W
2026/09/23 13:27:59.895, 1, 95 %, 26 %, 2233 MiB, 122.61 W
2026/09/23 13:27:59.896, 2, 94 %, 26 %, 2239 MiB, 122.13 W
2026/09/23 13:27:59.897, 3, 94 %, 26 %, 2231 MiB, 128.00 W
2026/09/23 13:28:00.900, 0, 93 %, 27 %, 2231 MiB, 124.70 W
2026/09/23 13:28:00.901, 1, 94 %, 27 %, 2233 MiB, 120.76 W
2026/09/23 13:28:00.902, 2, 94 %, 27 %, 2239 MiB, 120.76 W
2026/09/23 13:28:00.903, 3, 95 %, 26 %, 2231 MiB, 127.03 W
2026/09/23 13:28:01.905, 0, 94 %, 26 %, 2231 MiB, 128.00 W
2026/09/23 13:28:01.906, 1, 94 %, 26 %, 2235 MiB, 124.06 W
2026/09/23 13:28:01.907, 2, 94 %, 26 %, 2239 MiB, 123.10 W
2026/09/23 13:28:01.908, 3, 94 %, 26 %, 2231 MiB, 128.96 W
