job        1211045.pbs60
date       2026-09-22T10:47:26+02:00
arch       cpu
nodes      4
ranks      768 (192 per node)
nsteps     10000
npart      120000000
gpu_aware  1
balance    part
input      /hpc/data/cfd-students/nnoventa/sparta/nicola/results/scaling/cpu_n4_balpart_s10000_1211045/in.deck
commit     b7bf6d0247ba3b5b6388134e15e88e14360bbec8
build      arch    cpu-zen4 commit  a93d3916c57c611b1ff0aea6dd1908d4951cbee7 date    2026-09-22T10:00:43+02:00 
exe        /hpc/data/cfd-students/nnoventa/sparta/install_cpu/bin/spa_kokkos_mpi_only
hosts      pn6372.cm.cluster pn6383.cm.cluster pn6391.cm.cluster pn6399.cm.cluster 

Step CPU T/CPU S/CPU Dt Np Natt Ncoll Nbound Nexit c_temp 
    5800    70.768179 2.9101681e-07    97.005624        3e-09 66641433   855424   395935        0        0    298.06404 
    5900    71.795363 2.920604e-07    97.353453        3e-09 66427477   850236   393959        0        0    298.11322 
    6000    72.818734  2.93149e-07     97.71632        3e-09 66216418   845853   391888        0        0    298.19099 
    6100    73.918505 2.7278412e-07    90.928055        3e-09 66007442   840630   388947        0        0     298.2052 
    6200    74.937062 2.9453424e-07    98.178083        3e-09 65802537   835958   386831        0        0    298.23534 
    6300    75.961499 2.9284379e-07    97.614592        3e-09 65597846   831546   383802        0        0    298.28051 
    6400    77.140945 2.543567e-07    84.785565        3e-09 65394813   825899   381622        0        0    298.27335 
    6500    78.172463 2.9083295e-07    96.944305        3e-09 65195854   821349   378923        0        0    298.33582 
    6600     79.18832 2.9531769e-07    98.439258        3e-09 64998857   816626   376394        0        0    298.35897 
    6700    80.190347 2.9939306e-07    99.797677        3e-09 64803524   812831   374606        0        0     298.3713 
    6800    81.192709 2.9929322e-07     99.76441        3e-09 64611544   808210   373528        0        0    298.40085 
    6900    82.190465 3.0067448e-07    100.22483        3e-09 64425008   803392   370401        0        0     298.4234 
    7000    83.200214 2.9710351e-07    99.034498        3e-09 64237847   798940   368688        0        0    298.47704 
