timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W]
2026/09/22 12:23:53.191, 1, 31 %, 2 %, 2261 MiB, 61.29 W
2026/09/22 12:23:53.192, 2, 6 %, 1 %, 2261 MiB, 59.99 W
2026/09/22 12:23:53.193, 3, 32 %, 3 %, 2261 MiB, 59.42 W
2026/09/22 12:23:54.196, 0, 24 %, 1 %, 4199 MiB, 66.67 W
2026/09/22 12:23:54.197, 1, 25 %, 1 %, 2437 MiB, 60.80 W
2026/09/22 12:23:54.198, 2, 21 %, 1 %, 4199 MiB, 60.51 W
2026/09/22 12:23:54.199, 3, 20 %, 1 %, 4199 MiB, 59.95 W
2026/09/22 12:23:55.202, 0, 29 %, 7 %, 4569 MiB, 66.67 W
2026/09/22 12:23:55.203, 1, 27 %, 1 %, 4569 MiB, 64.16 W
2026/09/22 12:23:55.204, 2, 38 %, 2 %, 4569 MiB, 90.96 W
2026/09/22 12:23:55.205, 3, 38 %, 2 %, 2437 MiB, 60.36 W
2026/09/22 12:23:56.208, 0, 0 %, 0 %, 2631 MiB, 66.23 W
2026/09/22 12:23:56.209, 1, 0 %, 0 %, 2631 MiB, 71.00 W
2026/09/22 12:23:56.210, 2, 31 %, 2 %, 2631 MiB, 59.99 W
2026/09/22 12:23:56.211, 3, 20 %, 1 %, 2631 MiB, 64.28 W
2026/09/22 12:23:57.213, 0, 25 %, 1 %, 4975 MiB, 66.67 W
2026/09/22 12:23:57.214, 1, 31 %, 1 %, 4975 MiB, 71.97 W
2026/09/22 12:23:57.216, 2, 27 %, 7 %, 4975 MiB, 60.44 W
2026/09/22 12:23:57.218, 3, 34 %, 8 %, 4975 MiB, 62.38 W
2026/09/22 12:23:58.220, 0, 6 %, 0 %, 2843 MiB, 73.47 W
2026/09/22 12:23:58.221, 1, 0 %, 0 %, 2843 MiB, 71.92 W
2026/09/22 12:23:58.222, 2, 36 %, 4 %, 2843 MiB, 59.95 W
2026/09/22 12:23:58.223, 3, 45 %, 5 %, 2843 MiB, 71.04 W
2026/09/22 12:23:59.225, 0, 25 %, 1 %, 5423 MiB, 73.03 W
2026/09/22 12:23:59.226, 1, 31 %, 1 %, 5423 MiB, 72.40 W
2026/09/22 12:23:59.227, 2, 21 %, 1 %, 5423 MiB, 60.47 W
2026/09/22 12:23:59.229, 3, 28 %, 8 %, 5423 MiB, 71.04 W
2026/09/22 12:24:00.231, 0, 0 %, 0 %, 3079 MiB, 74.44 W
2026/09/22 12:24:00.232, 1, 40 %, 5 %, 3079 MiB, 71.92 W
2026/09/22 12:24:00.233, 2, 48 %, 6 %, 3079 MiB, 72.60 W
2026/09/22 12:24:00.234, 3, 48 %, 5 %, 3079 MiB, 71.04 W
2026/09/22 12:24:01.238, 0, 25 %, 1 %, 5915 MiB, 75.36 W
2026/09/22 12:24:01.239, 1, 39 %, 10 %, 5915 MiB, 72.40 W
2026/09/22 12:24:01.240, 2, 38 %, 10 %, 5915 MiB, 73.03 W
2026/09/22 12:24:01.241, 3, 42 %, 10 %, 5915 MiB, 71.48 W
2026/09/22 12:24:02.244, 0, 0 %, 0 %, 3335 MiB, 74.93 W
2026/09/22 12:24:02.245, 1, 32 %, 1 %, 5915 MiB, 71.92 W
2026/09/22 12:24:02.247, 2, 21 %, 1 %, 5915 MiB, 73.03 W
2026/09/22 12:24:02.248, 3, 21 %, 1 %, 5915 MiB, 71.04 W
2026/09/22 12:24:03.251, 0, 39 %, 2 %, 3403 MiB, 75.85 W
2026/09/22 12:24:03.252, 1, 39 %, 2 %, 3403 MiB, 72.84 W
2026/09/22 12:24:03.253, 2, 38 %, 2 %, 3403 MiB, 73.52 W
2026/09/22 12:24:03.254, 3, 38 %, 2 %, 3403 MiB, 71.97 W
2026/09/22 12:24:04.256, 0, 39 %, 2 %, 3553 MiB, 75.85 W
2026/09/22 12:24:04.257, 1, 38 %, 2 %, 3555 MiB, 72.84 W
2026/09/22 12:24:04.258, 2, 38 %, 2 %, 3553 MiB, 73.52 W
2026/09/22 12:24:04.259, 3, 38 %, 2 %, 3553 MiB, 71.97 W
2026/09/22 12:24:05.261, 0, 96 %, 24 %, 4589 MiB, 126.24 W
2026/09/22 12:24:05.263, 1, 95 %, 27 %, 4591 MiB, 117.38 W
2026/09/22 12:24:05.264, 2, 97 %, 25 %, 4137 MiB, 113.97 W
2026/09/22 12:24:05.266, 3, 97 %, 25 %, 4131 MiB, 108.09 W
2026/09/22 12:24:06.269, 0, 97 %, 25 %, 4133 MiB, 122.93 W
2026/09/22 12:24:06.270, 1, 97 %, 25 %, 4135 MiB, 121.73 W
2026/09/22 12:24:06.271, 2, 96 %, 28 %, 4137 MiB, 125.44 W
2026/09/22 12:24:06.273, 3, 96 %, 28 %, 4131 MiB, 123.82 W
2026/09/22 12:24:07.275, 0, 97 %, 26 %, 4135 MiB, 124.79 W
2026/09/22 12:24:07.276, 1, 97 %, 25 %, 4133 MiB, 120.76 W
2026/09/22 12:24:07.277, 2, 96 %, 28 %, 4137 MiB, 118.82 W
2026/09/22 12:24:07.278, 3, 95 %, 28 %, 4129 MiB, 111.89 W
2026/09/22 12:24:08.281, 0, 98 %, 26 %, 4135 MiB, 123.90 W
2026/09/22 12:24:08.282, 1, 97 %, 25 %, 4135 MiB, 118.43 W
2026/09/22 12:24:08.283, 2, 96 %, 28 %, 4137 MiB, 114.53 W
2026/09/22 12:24:08.284, 3, 96 %, 28 %, 4129 MiB, 110.03 W
2026/09/22 12:24:09.286, 0, 97 %, 27 %, 4133 MiB, 127.69 W
2026/09/22 12:24:09.289, 1, 97 %, 26 %, 4135 MiB, 124.06 W
2026/09/22 12:24:09.290, 2, 97 %, 28 %, 4137 MiB, 121.64 W
2026/09/22 12:24:09.291, 3, 96 %, 28 %, 4131 MiB, 114.79 W
2026/09/22 12:24:10.293, 0, 96 %, 28 %, 4133 MiB, 128.17 W
2026/09/22 12:24:10.294, 1, 97 %, 26 %, 4135 MiB, 124.54 W
2026/09/22 12:24:10.296, 2, 97 %, 27 %, 4137 MiB, 126.89 W
2026/09/22 12:24:10.297, 3, 96 %, 27 %, 4131 MiB, 126.15 W
2026/09/22 12:24:11.299, 0, 95 %, 29 %, 4133 MiB, 129.05 W
2026/09/22 12:24:11.300, 1, 97 %, 27 %, 4135 MiB, 125.99 W
2026/09/22 12:24:11.301, 2, 98 %, 26 %, 4137 MiB, 128.34 W
2026/09/22 12:24:11.302, 3, 97 %, 26 %, 4131 MiB, 127.12 W
2026/09/22 12:24:12.308, 0, 41 %, 1 %, 4133 MiB, 75.85 W
2026/09/22 12:24:12.309, 1, 41 %, 1 %, 4135 MiB, 73.33 W
2026/09/22 12:24:12.310, 2, 36 %, 1 %, 4137 MiB, 74.01 W
2026/09/22 12:24:12.311, 3, 36 %, 1 %, 4131 MiB, 72.94 W
2026/09/22 12:24:13.317, 0, 97 %, 26 %, 4133 MiB, 130.98 W
2026/09/22 12:24:13.318, 1, 97 %, 28 %, 4135 MiB, 126.95 W
2026/09/22 12:24:13.319, 2, 97 %, 27 %, 4137 MiB, 128.34 W
2026/09/22 12:24:13.320, 3, 97 %, 26 %, 4131 MiB, 127.12 W
2026/09/22 12:24:14.322, 0, 97 %, 26 %, 4589 MiB, 128.65 W
2026/09/22 12:24:14.324, 1, 96 %, 29 %, 4135 MiB, 123.17 W
2026/09/22 12:24:14.325, 2, 97 %, 29 %, 4137 MiB, 121.73 W
2026/09/22 12:24:14.326, 3, 97 %, 26 %, 4131 MiB, 116.24 W
2026/09/22 12:24:15.328, 0, 97 %, 26 %, 4133 MiB, 130.98 W
2026/09/22 12:24:15.329, 1, 97 %, 26 %, 4135 MiB, 126.86 W
2026/09/22 12:24:15.330, 2, 98 %, 27 %, 4137 MiB, 129.79 W
2026/09/22 12:24:15.331, 3, 97 %, 27 %, 4131 MiB, 129.05 W
2026/09/22 12:24:16.333, 0, 96 %, 30 %, 4133 MiB, 131.46 W
2026/09/22 12:24:16.334, 1, 96 %, 29 %, 4135 MiB, 127.43 W
2026/09/22 12:24:16.335, 2, 98 %, 27 %, 4137 MiB, 130.27 W
2026/09/22 12:24:16.336, 3, 97 %, 28 %, 4131 MiB, 128.57 W
2026/09/22 12:24:17.339, 0, 96 %, 29 %, 4589 MiB, 130.59 W
2026/09/22 12:24:17.340, 1, 97 %, 28 %, 4135 MiB, 121.24 W
2026/09/22 12:24:17.341, 2, 98 %, 27 %, 4137 MiB, 119.79 W
2026/09/22 12:24:17.343, 3, 96 %, 29 %, 4131 MiB, 113.82 W
2026/09/22 12:24:18.345, 0, 89 %, 26 %, 4133 MiB, 128.17 W
2026/09/22 12:24:18.347, 1, 87 %, 26 %, 4135 MiB, 122.21 W
2026/09/22 12:24:18.348, 2, 97 %, 27 %, 4137 MiB, 118.26 W
2026/09/22 12:24:18.349, 3, 96 %, 29 %, 4131 MiB, 113.82 W
2026/09/22 12:24:19.352, 0, 97 %, 27 %, 4133 MiB, 131.95 W
2026/09/22 12:24:19.353, 1, 97 %, 27 %, 4135 MiB, 128.31 W
2026/09/22 12:24:19.355, 2, 98 %, 27 %, 4137 MiB, 130.76 W
2026/09/22 12:24:19.356, 3, 97 %, 27 %, 4131 MiB, 130.01 W
2026/09/22 12:24:20.358, 0, 41 %, 1 %, 4133 MiB, 76.82 W
2026/09/22 12:24:20.360, 1, 41 %, 1 %, 4135 MiB, 73.81 W
2026/09/22 12:24:20.361, 2, 36 %, 1 %, 4137 MiB, 74.49 W
2026/09/22 12:24:20.362, 3, 36 %, 1 %, 4131 MiB, 73.42 W
2026/09/22 12:24:21.364, 0, 97 %, 27 %, 4133 MiB, 134.27 W
2026/09/22 12:24:21.365, 1, 97 %, 27 %, 4591 MiB, 124.54 W
2026/09/22 12:24:21.367, 2, 96 %, 30 %, 4595 MiB, 128.34 W
2026/09/22 12:24:21.368, 3, 97 %, 27 %, 4583 MiB, 125.75 W
2026/09/22 12:24:22.370, 0, 97 %, 28 %, 4133 MiB, 132.91 W
2026/09/22 12:24:22.372, 1, 96 %, 30 %, 4135 MiB, 128.79 W
2026/09/22 12:24:22.373, 2, 98 %, 27 %, 4137 MiB, 130.67 W
2026/09/22 12:24:22.374, 3, 97 %, 28 %, 4131 MiB, 130.01 W
2026/09/22 12:24:23.376, 0, 97 %, 28 %, 4133 MiB, 127.69 W
2026/09/22 12:24:23.377, 1, 97 %, 27 %, 4135 MiB, 124.54 W
2026/09/22 12:24:23.379, 2, 97 %, 29 %, 4137 MiB, 126.89 W
2026/09/22 12:24:23.380, 3, 96 %, 28 %, 4131 MiB, 126.64 W
2026/09/22 12:24:24.382, 0, 97 %, 27 %, 4133 MiB, 132.91 W
2026/09/22 12:24:24.383, 1, 97 %, 29 %, 4135 MiB, 128.79 W
2026/09/22 12:24:24.384, 2, 98 %, 27 %, 4137 MiB, 131.15 W
2026/09/22 12:24:24.385, 3, 97 %, 27 %, 4131 MiB, 130.01 W
2026/09/22 12:24:25.388, 0, 96 %, 29 %, 4133 MiB, 132.43 W
2026/09/22 12:24:25.389, 1, 98 %, 27 %, 4135 MiB, 128.88 W
2026/09/22 12:24:25.390, 2, 97 %, 28 %, 4137 MiB, 130.27 W
2026/09/22 12:24:25.391, 3, 96 %, 29 %, 4131 MiB, 129.53 W
2026/09/22 12:24:26.393, 0, 97 %, 27 %, 4133 MiB, 132.43 W
2026/09/22 12:24:26.394, 1, 97 %, 28 %, 4135 MiB, 128.79 W
2026/09/22 12:24:26.395, 2, 98 %, 27 %, 4137 MiB, 131.73 W
2026/09/22 12:24:26.396, 3, 97 %, 27 %, 4131 MiB, 127.20 W
2026/09/22 12:24:27.399, 0, 97 %, 28 %, 4133 MiB, 133.40 W
2026/09/22 12:24:27.400, 1, 97 %, 27 %, 4135 MiB, 128.79 W
2026/09/22 12:24:27.401, 2, 97 %, 28 %, 4137 MiB, 131.24 W
2026/09/22 12:24:27.402, 3, 96 %, 30 %, 4131 MiB, 130.50 W
2026/09/22 12:24:28.404, 0, 41 %, 1 %, 4133 MiB, 76.82 W
2026/09/22 12:24:28.405, 1, 41 %, 1 %, 4135 MiB, 73.81 W
2026/09/22 12:24:28.406, 2, 36 %, 1 %, 4137 MiB, 74.98 W
2026/09/22 12:24:28.407, 3, 36 %, 1 %, 4131 MiB, 73.42 W
2026/09/22 12:24:29.410, 0, 97 %, 27 %, 4133 MiB, 132.91 W
2026/09/22 12:24:29.411, 1, 95 %, 30 %, 4135 MiB, 129.27 W
2026/09/22 12:24:29.414, 2, 98 %, 27 %, 4137 MiB, 132.12 W
2026/09/22 12:24:29.415, 3, 97 %, 28 %, 4131 MiB, 131.46 W
2026/09/22 12:24:30.417, 0, 96 %, 30 %, 4133 MiB, 131.95 W
2026/09/22 12:24:30.418, 1, 97 %, 27 %, 4135 MiB, 128.31 W
2026/09/22 12:24:30.419, 2, 97 %, 30 %, 4137 MiB, 130.76 W
2026/09/22 12:24:30.421, 3, 96 %, 27 %, 4131 MiB, 130.50 W
2026/09/22 12:24:31.423, 0, 98 %, 27 %, 4133 MiB, 132.43 W
2026/09/22 12:24:31.424, 1, 96 %, 29 %, 4135 MiB, 127.35 W
2026/09/22 12:24:31.425, 2, 98 %, 27 %, 4137 MiB, 131.64 W
2026/09/22 12:24:31.427, 3, 97 %, 27 %, 4131 MiB, 130.50 W
2026/09/22 12:24:32.429, 0, 97 %, 29 %, 4133 MiB, 134.36 W
2026/09/22 12:24:32.432, 1, 97 %, 27 %, 4135 MiB, 130.24 W
2026/09/22 12:24:32.433, 2, 97 %, 28 %, 4137 MiB, 132.12 W
2026/09/22 12:24:32.434, 3, 96 %, 30 %, 4131 MiB, 131.46 W
2026/09/22 12:24:33.436, 0, 96 %, 27 %, 4133 MiB, 128.65 W
2026/09/22 12:24:33.437, 1, 97 %, 28 %, 4135 MiB, 125.99 W
2026/09/22 12:24:33.438, 2, 97 %, 28 %, 4137 MiB, 128.82 W
2026/09/22 12:24:33.439, 3, 97 %, 27 %, 4131 MiB, 128.17 W
2026/09/22 12:24:34.441, 0, 98 %, 28 %, 4133 MiB, 133.88 W
2026/09/22 12:24:34.442, 1, 96 %, 29 %, 4135 MiB, 129.76 W
2026/09/22 12:24:34.444, 2, 98 %, 27 %, 4137 MiB, 132.60 W
