job        1211165.pbs60
date       2026-09-22T11:24:06+02:00
arch       cpu
nodes      1
ranks      192 (192 per node)
nsteps     10000
npart      120000000
gpu_aware  1
balance    dyn, every 1000 steps
input      /hpc/data/cfd-students/nnoventa/sparta/nicola/results/scaling/cpu_n1_baldyn_s10000_1211165/in.deck
commit     745437a511f90034590e24e030316653e995f251
build      arch    cpu-zen4 commit  a93d3916c57c611b1ff0aea6dd1908d4951cbee7 date    2026-09-22T10:00:43+02:00 
exe        /hpc/data/cfd-students/nnoventa/sparta/install_cpu/bin/spa_kokkos_mpi_only
hosts      pn6382.cm.cluster 

Step CPU T/CPU S/CPU Dt Np Natt Ncoll Nbound Nexit c_temp 
    5900    252.11695 9.3661587e-08     31.22053        3e-09 66420763   850113   394219        0        0     298.2499 
    6000    255.40666 9.1193356e-08    30.397786        3e-09 66206926   844947   391103        0        0    298.26463 
    6100    258.88239 8.6312778e-08    28.770926        3e-09 65998102   840367   388855        0        0    298.22855 
    6200    262.13919 9.2115077e-08    30.705026        3e-09 65789483   835577   387190        0        0    298.20958 
    6300    265.38982 9.2289773e-08    30.763256        3e-09 65581385   830831   383844        0        0    298.25948 
    6400    268.62915 9.2611657e-08    30.870553        3e-09 65379993   826282   382613        0        0    298.29747 
    6500    271.85554 9.2983222e-08    30.994407        3e-09 65181067   821487   379919        0        0    298.38652 
    6600    275.05327 9.3816702e-08    31.272233        3e-09 64984159   816953   377187        0        0    298.43573 
    6700    278.22732 9.4516493e-08    31.505497        3e-09 64789197   812239   374510        0        0    298.48016 
    6800    281.39135 9.481559e-08    31.605198        3e-09 64592622   807801   372173        0        0    298.51278 
    6900    284.52864 9.562411e-08    31.874702        3e-09 64400294   802793   370519        0        0    298.50932 
    7000    287.99216 8.661699e-08    28.872331        3e-09 64211304   798533   367889        0        0    298.48727 
    7100    291.10779 9.6288563e-08    32.096187        3e-09 64024385   794143   365726        0        0    298.55616 
    7200    294.18174 9.7594421e-08    32.531473        3e-09 63837135   789310   363537        0        0    298.59675 
    7300    297.23641 9.821046e-08     32.73682        3e-09 63656944   785002   362110        0        0    298.58493 
    7400    300.28678 9.8348476e-08    32.782825        3e-09 63477872   780745   359920        0        0    298.65342 
    7500    303.32151 9.8855547e-08    32.951849        3e-09 63298918   776462   357426        0        0    298.67601 
    7600      306.343 9.9288818e-08    33.096272        3e-09 63119689   772377   356008        0        0    298.68634 
    7700    309.34911 9.9796844e-08    33.265614        3e-09 62940448   767836   353252        0        0    298.71797 
    7800    312.34397 1.0017171e-07    33.390571        3e-09 62764357   763347   351400        0        0    298.71606 
    7900    315.32692 1.0057137e-07     33.52379        3e-09 62587748   759550   349160        0        0    298.77462 
    8000    318.48621 9.4958023e-08    31.652676        3e-09 62413619   755024   346970        0        0    298.79815 
    8100    321.44906 1.0125405e-07    33.751348        3e-09 62241261   751043   344924        0        0    298.77337 
    8200    324.39562 1.0181348e-07    33.937828        3e-09 62073671   746857   343678        0        0    298.76958 
    8300    327.32415 1.0244051e-07    34.146836        3e-09 61908189   742747   341004        0        0    298.76086 
    8400    330.23659 1.0300657e-07    34.335523        3e-09 61744052   739007   338505        0        0    298.77828 
    8500    333.15121 1.0292935e-07    34.309782        3e-09 61580926   734745   337627        0        0    298.79358 
    8600    336.05106 1.0345351e-07    34.484504        3e-09 61417335   730572   335409        0        0    298.84235 
    8700      338.941 1.0380835e-07    34.602781        3e-09 61255791   726979   334022        0        0    298.80913 
    8800    341.81882 1.0424582e-07    34.748609        3e-09 61094750   722962   332082        0        0    298.83599 
    8900      344.698 1.041961e-07    34.732032        3e-09 60935646   719146   329882        0        0    298.89488 
    9000     347.8323 9.5715149e-08    31.905051        3e-09 60776618   714877   326875        0        0    298.82809 
    9100    352.10627 7.019234e-08    23.397446        3e-09 60618912   711127   325681        0        0    298.82999 
    9200     356.3248 7.1114852e-08     23.70495        3e-09 60463231   707146   324686        0        0    298.86232 
    9300    360.60853 7.0032493e-08    23.344165        3e-09 60309247   703498   323324        0        0    298.89018 
    9400    364.79761 7.1614743e-08    23.871581        3e-09 60155917   699716   320964        0        0    298.91298 
    9500     368.9766 7.1787569e-08     23.92919        3e-09 60005319   696347   319776        0        0    298.93866 
    9600    373.22726 7.057738e-08    23.525794        3e-09 59854705   692824   317311        0        0    298.96814 
    9700    377.70609 6.698168e-08    22.327226        3e-09 59704031   688915   315731        0        0    298.97675 
    9800    381.85162 7.2367235e-08    24.122412        3e-09 59553665   684586   313471        0        0    298.92467 
    9900    385.96598 7.291527e-08     24.30509        3e-09 59406734   681607   312507        0        0    298.93233 
   10000    390.19832 7.0882839e-08    23.627613        3e-09 59261774   677701   309858        0        0    298.96164 
Loop time of 390.198 on 192 procs for 10000 steps with 59261774 particles
MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Move    | 97.146     | 152.42     | 199.37     | 178.9 | 39.06
Coll    | 18.098     | 41.662     | 52.891     | 171.6 | 10.68
Sort    | 57.19      | 64.138     | 68.507     |  41.2 | 16.44
Comm    | 10.867     | 12.141     | 15.306     |  19.2 |  3.11
Modify  | 29.871     | 44.968     | 74.732     | 209.8 | 11.52
Output  | 0.52878    | 0.83182    | 1.2239     |  22.6 |  0.21
MPI Sync| 28.107     | 74.036     | 129.01     | 253.8 | 18.97
Other   |            | 0.00268    |            |       |  0.00

Particle moves    = 736710077240 (737B)
Particles: 308655 ave 309094 max 308226 min
Cells:      4500 ave 7368 max 3543 min
