timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W]
2026/09/23 13:27:58.666, 1, 91 %, 27 %, 1669 MiB, 117.86 W
2026/09/23 13:27:58.667, 2, 91 %, 28 %, 1529 MiB, 116.47 W
2026/09/23 13:27:58.668, 3, 92 %, 27 %, 1677 MiB, 113.34 W
2026/09/23 13:27:59.670, 0, 91 %, 27 %, 1519 MiB, 129.53 W
2026/09/23 13:27:59.671, 1, 90 %, 27 %, 1517 MiB, 120.28 W
2026/09/23 13:27:59.673, 2, 91 %, 28 %, 1529 MiB, 120.27 W
2026/09/23 13:27:59.674, 3, 92 %, 27 %, 1521 MiB, 115.28 W
2026/09/23 13:28:00.676, 0, 90 %, 27 %, 1519 MiB, 127.06 W
2026/09/23 13:28:00.677, 1, 91 %, 27 %, 1517 MiB, 123.42 W
2026/09/23 13:28:00.678, 2, 91 %, 28 %, 1529 MiB, 126.82 W
2026/09/23 13:28:00.679, 3, 92 %, 27 %, 1521 MiB, 126.09 W
2026/09/23 13:28:01.682, 0, 91 %, 27 %, 1519 MiB, 130.36 W
2026/09/23 13:28:01.683, 1, 91 %, 27 %, 1517 MiB, 125.84 W
2026/09/23 13:28:01.684, 2, 92 %, 28 %, 1529 MiB, 125.85 W
2026/09/23 13:28:01.685, 3, 92 %, 27 %, 1521 MiB, 121.81 W
2026/09/23 13:28:02.687, 0, 91 %, 27 %, 1519 MiB, 122.37 W
2026/09/23 13:28:02.688, 1, 90 %, 28 %, 1517 MiB, 114.79 W
2026/09/23 13:28:02.689, 2, 91 %, 28 %, 1529 MiB, 114.76 W
2026/09/23 13:28:02.690, 3, 91 %, 28 %, 1521 MiB, 112.67 W
2026/09/23 13:28:03.692, 0, 91 %, 28 %, 1519 MiB, 131.81 W
2026/09/23 13:28:03.693, 1, 90 %, 27 %, 1517 MiB, 124.39 W
2026/09/23 13:28:03.694, 2, 91 %, 28 %, 1529 MiB, 126.34 W
2026/09/23 13:28:03.696, 3, 92 %, 28 %, 1521 MiB, 116.55 W
2026/09/23 13:28:04.698, 0, 90 %, 27 %, 1519 MiB, 128.99 W
2026/09/23 13:28:04.700, 1, 90 %, 28 %, 1517 MiB, 124.87 W
2026/09/23 13:28:04.701, 2, 91 %, 28 %, 1529 MiB, 127.79 W
2026/09/23 13:28:04.702, 3, 92 %, 28 %, 1521 MiB, 126.49 W
2026/09/23 13:28:05.704, 0, 91 %, 28 %, 1519 MiB, 124.63 W
2026/09/23 13:28:05.705, 1, 90 %, 28 %, 1517 MiB, 121.57 W
2026/09/23 13:28:05.706, 2, 92 %, 28 %, 1529 MiB, 125.36 W
2026/09/23 13:28:05.707, 3, 92 %, 28 %, 1521 MiB, 124.15 W
2026/09/23 13:28:06.709, 0, 90 %, 28 %, 1519 MiB, 131.33 W
2026/09/23 13:28:06.711, 1, 90 %, 28 %, 1517 MiB, 124.87 W
2026/09/23 13:28:06.712, 2, 92 %, 28 %, 1529 MiB, 123.42 W
2026/09/23 13:28:06.713, 3, 92 %, 28 %, 1521 MiB, 116.96 W
2026/09/23 13:28:07.715, 0, 90 %, 28 %, 1519 MiB, 131.81 W
2026/09/23 13:28:07.716, 1, 90 %, 28 %, 1517 MiB, 121.97 W
2026/09/23 13:28:07.717, 2, 91 %, 28 %, 1529 MiB, 123.91 W
2026/09/23 13:28:07.718, 3, 92 %, 28 %, 1521 MiB, 116.96 W
2026/09/23 13:28:08.720, 0, 90 %, 28 %, 1673 MiB, 125.12 W
2026/09/23 13:28:08.721, 1, 90 %, 28 %, 1517 MiB, 115.76 W
2026/09/23 13:28:08.723, 2, 91 %, 28 %, 1693 MiB, 115.73 W
2026/09/23 13:28:08.724, 3, 92 %, 28 %, 1521 MiB, 114.12 W
2026/09/23 13:28:09.726, 0, 88 %, 27 %, 1519 MiB, 129.88 W
2026/09/23 13:28:09.727, 1, 88 %, 27 %, 1517 MiB, 127.29 W
2026/09/23 13:28:09.728, 2, 89 %, 28 %, 1529 MiB, 129.65 W
2026/09/23 13:28:09.729, 3, 90 %, 27 %, 1521 MiB, 128.91 W
2026/09/23 13:28:10.731, 0, 91 %, 28 %, 1519 MiB, 126.49 W
2026/09/23 13:28:10.732, 1, 90 %, 28 %, 1669 MiB, 122.45 W
2026/09/23 13:28:10.734, 2, 92 %, 29 %, 1693 MiB, 120.51 W
2026/09/23 13:28:10.735, 3, 92 %, 28 %, 1677 MiB, 115.02 W
2026/09/23 13:28:11.738, 0, 91 %, 28 %, 1519 MiB, 129.88 W
2026/09/23 13:28:11.739, 1, 90 %, 28 %, 1517 MiB, 126.72 W
2026/09/23 13:28:11.740, 2, 92 %, 29 %, 1529 MiB, 130.13 W
2026/09/23 13:28:11.741, 3, 92 %, 28 %, 1521 MiB, 128.99 W
2026/09/23 13:28:12.743, 0, 91 %, 28 %, 1519 MiB, 128.99 W
2026/09/23 13:28:12.744, 1, 90 %, 28 %, 1517 MiB, 118.66 W
2026/09/23 13:28:12.745, 2, 92 %, 29 %, 1529 MiB, 117.68 W
2026/09/23 13:28:12.746, 3, 92 %, 28 %, 1521 MiB, 114.12 W
2026/09/23 13:28:13.748, 0, 91 %, 28 %, 1519 MiB, 126.49 W
2026/09/23 13:28:13.750, 1, 90 %, 28 %, 1517 MiB, 123.90 W
2026/09/23 13:28:13.751, 2, 92 %, 29 %, 1529 MiB, 127.22 W
2026/09/23 13:28:13.752, 3, 91 %, 28 %, 1521 MiB, 126.49 W
2026/09/23 13:28:14.754, 0, 91 %, 28 %, 1519 MiB, 126.49 W
2026/09/23 13:28:14.755, 1, 91 %, 28 %, 1517 MiB, 123.90 W
2026/09/23 13:28:14.756, 2, 91 %, 29 %, 1529 MiB, 127.22 W
2026/09/23 13:28:14.757, 3, 92 %, 28 %, 1521 MiB, 128.42 W
2026/09/23 13:28:15.763, 0, 91 %, 28 %, 1519 MiB, 124.15 W
2026/09/23 13:28:15.765, 1, 90 %, 28 %, 1517 MiB, 123.42 W
