timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/09/22 14:05:32.416, 0, 72 %, 3 %, 4811 MiB, 143771 MiB, 140.19 W
2026/09/22 14:05:32.666, 0, 88 %, 4 %, 4811 MiB, 143771 MiB, 153.05 W
2026/09/22 14:05:32.916, 0, 99 %, 5 %, 4811 MiB, 143771 MiB, 168.11 W
2026/09/22 14:05:33.166, 0, 99 %, 4 %, 5379 MiB, 143771 MiB, 177.69 W
2026/09/22 14:05:33.417, 0, 81 %, 4 %, 5379 MiB, 143771 MiB, 171.49 W
2026/09/22 14:05:33.667, 0, 93 %, 4 %, 4811 MiB, 143771 MiB, 171.23 W
2026/09/22 14:05:34.018, 0, 58 %, 3 %, 5379 MiB, 143771 MiB, 157.17 W
2026/09/22 14:05:34.287, 0, 23 %, 1 %, 5379 MiB, 143771 MiB, 150.29 W
2026/09/22 14:05:34.538, 0, 0 %, 0 %, 5379 MiB, 143771 MiB, 140.16 W
2026/09/22 14:05:34.792, 0, 0 %, 0 %, 5379 MiB, 143771 MiB, 130.02 W
2026/09/22 14:05:35.059, 0, 27 %, 1 %, 4811 MiB, 143771 MiB, 127.75 W
2026/09/22 14:05:35.309, 0, 11 %, 0 %, 4811 MiB, 143771 MiB, 139.73 W
2026/09/22 14:05:35.559, 0, 99 %, 4 %, 4811 MiB, 143771 MiB, 153.41 W
2026/09/22 14:05:35.810, 0, 99 %, 5 %, 4811 MiB, 143771 MiB, 168.42 W
2026/09/22 14:05:36.060, 0, 99 %, 5 %, 4811 MiB, 143771 MiB, 180.64 W
2026/09/22 14:05:36.310, 0, 99 %, 4 %, 4811 MiB, 143771 MiB, 175.32 W
2026/09/22 14:05:36.566, 0, 74 %, 3 %, 5379 MiB, 143771 MiB, 170.45 W
2026/09/22 14:05:36.873, 0, 59 %, 3 %, 5379 MiB, 143771 MiB, 155.09 W
2026/09/22 14:05:37.151, 0, 0 %, 0 %, 5379 MiB, 143771 MiB, 136.63 W
2026/09/22 14:05:37.401, 0, 0 %, 0 %, 5379 MiB, 143771 MiB, 128.53 W
2026/09/22 14:05:37.715, 0, 1 %, 0 %, 5379 MiB, 143771 MiB, 122.77 W
2026/09/22 14:05:37.973, 0, 13 %, 0 %, 4811 MiB, 143771 MiB, 131.44 W
2026/09/22 14:05:38.223, 0, 85 %, 4 %, 4811 MiB, 143771 MiB, 143.98 W
2026/09/22 14:05:38.473, 0, 96 %, 4 %, 4811 MiB, 143771 MiB, 161.62 W
2026/09/22 14:05:38.723, 0, 99 %, 4 %, 4811 MiB, 143771 MiB, 174.07 W
2026/09/22 14:05:38.974, 0, 99 %, 5 %, 5379 MiB, 143771 MiB, 181.77 W
2026/09/22 14:05:39.224, 0, 46 %, 2 %, 4811 MiB, 143771 MiB, 174.72 W
2026/09/22 14:05:39.474, 0, 59 %, 3 %, 5379 MiB, 143771 MiB, 173.04 W
2026/09/22 14:05:39.759, 0, 98 %, 4 %, 5379 MiB, 143771 MiB, 159.38 W
2026/09/22 14:05:40.010, 0, 0 %, 0 %, 5379 MiB, 143771 MiB, 152.04 W
2026/09/22 14:05:40.265, 0, 27 %, 1 %, 5379 MiB, 143771 MiB, 142.61 W
2026/09/22 14:05:40.523, 0, 0 %, 0 %, 5379 MiB, 143771 MiB, 127.35 W
2026/09/22 14:05:40.779, 0, 27 %, 1 %, 5379 MiB, 143771 MiB, 128.07 W
2026/09/22 14:05:41.029, 0, 26 %, 1 %, 4811 MiB, 143771 MiB, 135.87 W
2026/09/22 14:05:41.279, 0, 88 %, 4 %, 4811 MiB, 143771 MiB, 150.00 W
2026/09/22 14:05:41.529, 0, 77 %, 3 %, 4811 MiB, 143771 MiB, 163.92 W
2026/09/22 14:05:41.780, 0, 99 %, 5 %, 4811 MiB, 143771 MiB, 176.90 W
2026/09/22 14:05:42.030, 0, 45 %, 2 %, 5379 MiB, 143771 MiB, 171.79 W
2026/09/22 14:05:42.280, 0, 77 %, 4 %, 5379 MiB, 143771 MiB, 172.92 W
2026/09/22 14:05:42.543, 0, 38 %, 2 %, 5379 MiB, 143771 MiB, 163.22 W
2026/09/22 14:05:42.795, 0, 27 %, 1 %, 5379 MiB, 143771 MiB, 148.98 W
2026/09/22 14:05:43.045, 0, 0 %, 0 %, 5379 MiB, 143771 MiB, 142.07 W
2026/09/22 14:05:43.299, 0, 0 %, 0 %, 5379 MiB, 143771 MiB, 127.78 W
2026/09/22 14:05:43.550, 0, 27 %, 1 %, 5379 MiB, 143771 MiB, 126.96 W
2026/09/22 14:05:43.808, 0, 95 %, 4 %, 5379 MiB, 143771 MiB, 139.15 W
2026/09/22 14:05:44.058, 0, 93 %, 4 %, 4811 MiB, 143771 MiB, 152.29 W
2026/09/22 14:05:44.308, 0, 99 %, 4 %, 4811 MiB, 143771 MiB, 170.52 W
2026/09/22 14:05:44.558, 0, 99 %, 5 %, 4811 MiB, 143771 MiB, 180.50 W
2026/09/22 14:05:44.809, 0, 32 %, 1 %, 4811 MiB, 143771 MiB, 176.81 W
2026/09/22 14:05:45.094, 0, 69 %, 3 %, 4811 MiB, 143771 MiB, 172.72 W
