2026/09/23 14:19:17.552, 116, 143771, 0
2026/09/23 14:19:17.803, 116, 143771, 0
2026/09/23 14:19:18.053, 116, 143771, 0
2026/09/23 14:19:18.303, 116, 143771, 0
2026/09/23 14:19:18.554, 116, 143771, 0
2026/09/23 14:19:18.804, 116, 143771, 0
2026/09/23 14:19:19.054, 116, 143771, 0
2026/09/23 14:19:19.304, 116, 143771, 0
2026/09/23 14:19:19.554, 116, 143771, 0
2026/09/23 14:19:19.804, 116, 143771, 0
2026/09/23 14:19:20.054, 116, 143771, 0
2026/09/23 14:19:20.305, 116, 143771, 0
2026/09/23 14:19:20.555, 116, 143771, 0
2026/09/23 14:19:20.805, 116, 143771, 0
2026/09/23 14:19:21.055, 116, 143771, 0
2026/09/23 14:19:21.305, 116, 143771, 0
2026/09/23 14:19:21.555, 116, 143771, 0
2026/09/23 14:19:21.805, 116, 143771, 0
2026/09/23 14:19:22.056, 116, 143771, 0
2026/09/23 14:19:22.306, 116, 143771, 0
2026/09/23 14:19:22.556, 116, 143771, 0
2026/09/23 14:19:22.806, 116, 143771, 0
2026/09/23 14:19:23.056, 116, 143771, 0
2026/09/23 14:19:23.307, 116, 143771, 0
2026/09/23 14:19:23.557, 116, 143771, 0
2026/09/23 14:19:23.807, 116, 143771, 0
2026/09/23 14:19:24.057, 116, 143771, 0
2026/09/23 14:19:24.307, 116, 143771, 0
2026/09/23 14:19:24.557, 116, 143771, 0
2026/09/23 14:19:24.807, 116, 143771, 0
2026/09/23 14:19:25.057, 116, 143771, 0
2026/09/23 14:19:25.308, 116, 143771, 0
2026/09/23 14:19:25.558, 116, 143771, 0
2026/09/23 14:19:25.808, 116, 143771, 0
2026/09/23 14:19:26.058, 116, 143771, 0
2026/09/23 14:19:26.308, 116, 143771, 0
2026/09/23 14:19:26.558, 116, 143771, 0
2026/09/23 14:19:26.809, 116, 143771, 0
2026/09/23 14:19:27.059, 116, 143771, 0
2026/09/23 14:19:27.309, 116, 143771, 0
