job        1211043.pbs60
date       2026-09-22T10:47:26+02:00
arch       cpu
nodes      4
ranks      768 (192 per node)
nsteps     10000
npart      120000000
gpu_aware  1
balance    deck (rcb cell)
input      /hpc/data/cfd-students/nnoventa/sparta/nicola/input/in.sparta.gpu
commit     b7bf6d0247ba3b5b6388134e15e88e14360bbec8
build      arch    cpu-zen4 commit  a93d3916c57c611b1ff0aea6dd1908d4951cbee7 date    2026-09-22T10:00:43+02:00 
exe        /hpc/data/cfd-students/nnoventa/sparta/install_cpu/bin/spa_kokkos_mpi_only
hosts      pn6334.cm.cluster pn6346.cm.cluster pn6352.cm.cluster pn6377.cm.cluster 

Step CPU T/CPU S/CPU Dt Np Natt Ncoll Nbound Nexit c_temp 
    5800    90.572556 2.1408725e-07    71.362417        3e-09 66630369   855334   395475        0        0    298.13196 
    5900    92.019796 2.072912e-07    69.097067        3e-09 66414175   850133   393515        0        0    298.20959 
    6000    93.204174 2.5329739e-07     84.43247        3e-09 66200628   844959   390499        0        0    298.23287 
    6100     94.38783 2.5345222e-07    84.484072        3e-09 65993228   840719   389086        0        0    298.25561 
    6200    95.590024 2.4954376e-07    83.181258        3e-09 65786428   835772   386166        0        0    298.31754 
    6300    96.767518 2.5477828e-07    84.926086        3e-09 65580459   830912   384131        0        0    298.35835 
    6400    97.971077 2.4926084e-07    83.086963        3e-09 65378027   826122   381465        0        0    298.38083 
    6500    99.142748 2.5604464e-07    85.348197        3e-09 65177277   821455   379147        0        0    298.39181 
    6600    100.33737 2.5112507e-07    83.708354        3e-09 64980611   816855   377706        0        0    298.39293 
    6700    101.50306 2.5735821e-07    85.786084        3e-09 64785255   812160   375129        0        0    298.38693 
    6800    102.67106 2.5684988e-07    85.616623        3e-09 64592508   807502   372380        0        0    298.48918 
    6900    103.83149 2.5852422e-07     86.17474        3e-09 64402174   802777   370173        0        0    298.52398 
    7000    104.98875 2.5923275e-07    86.410907        3e-09 64211161   798311   367099        0        0    298.55033 
    7100     106.1457 2.5930339e-07    86.434457        3e-09 64023208   793728   365849        0        0    298.57311 
