timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/09/23 15:44:02.227, 0, 0 %, 0 %, 5825 MiB, 143771 MiB, 129.66 W
2026/09/23 15:44:02.478, 0, 56 %, 1 %, 11353 MiB, 143771 MiB, 130.67 W
2026/09/23 15:44:02.728, 0, 35 %, 2 %, 11353 MiB, 143771 MiB, 130.74 W
2026/09/23 15:44:02.978, 0, 33 %, 0 %, 6329 MiB, 143771 MiB, 131.62 W
2026/09/23 15:44:03.228, 0, 41 %, 1 %, 6329 MiB, 143771 MiB, 131.66 W
2026/09/23 15:44:03.478, 0, 0 %, 0 %, 6329 MiB, 143771 MiB, 128.18 W
2026/09/23 15:44:03.728, 0, 35 %, 1 %, 12409 MiB, 143771 MiB, 131.16 W
2026/09/23 15:44:03.979, 0, 45 %, 2 %, 12409 MiB, 143771 MiB, 131.59 W
2026/09/23 15:44:04.229, 0, 34 %, 0 %, 6881 MiB, 143771 MiB, 132.29 W
2026/09/23 15:44:04.479, 0, 28 %, 1 %, 6881 MiB, 143771 MiB, 133.06 W
2026/09/23 15:44:04.729, 0, 0 %, 0 %, 6881 MiB, 143771 MiB, 132.10 W
2026/09/23 15:44:04.979, 0, 0 %, 0 %, 6881 MiB, 143771 MiB, 128.75 W
2026/09/23 15:44:05.229, 0, 44 %, 1 %, 13569 MiB, 143771 MiB, 130.45 W
2026/09/23 15:44:05.479, 0, 34 %, 0 %, 13569 MiB, 143771 MiB, 130.74 W
2026/09/23 15:44:05.730, 0, 34 %, 0 %, 7489 MiB, 143771 MiB, 131.85 W
2026/09/23 15:44:05.980, 0, 36 %, 1 %, 7489 MiB, 143771 MiB, 131.21 W
2026/09/23 15:44:06.230, 0, 0 %, 0 %, 7489 MiB, 143771 MiB, 128.87 W
2026/09/23 15:44:06.480, 0, 19 %, 0 %, 7489 MiB, 143771 MiB, 128.81 W
2026/09/23 15:44:06.730, 0, 58 %, 3 %, 14845 MiB, 143771 MiB, 130.22 W
2026/09/23 15:44:06.980, 0, 33 %, 0 %, 14845 MiB, 143771 MiB, 131.27 W
2026/09/23 15:44:07.230, 0, 33 %, 0 %, 8157 MiB, 143771 MiB, 132.08 W
2026/09/23 15:44:07.481, 0, 43 %, 1 %, 8157 MiB, 143771 MiB, 131.66 W
2026/09/23 15:44:07.731, 0, 0 %, 0 %, 8157 MiB, 143771 MiB, 129.18 W
2026/09/23 15:44:07.981, 0, 0 %, 0 %, 8157 MiB, 143771 MiB, 128.46 W
2026/09/23 15:44:08.231, 0, 13 %, 0 %, 16249 MiB, 143771 MiB, 128.92 W
2026/09/23 15:44:08.481, 0, 61 %, 1 %, 16249 MiB, 143771 MiB, 131.78 W
2026/09/23 15:44:08.731, 0, 34 %, 0 %, 16249 MiB, 143771 MiB, 132.59 W
2026/09/23 15:44:08.981, 0, 34 %, 0 %, 8893 MiB, 143771 MiB, 133.58 W
2026/09/23 15:44:09.232, 0, 49 %, 1 %, 8893 MiB, 143771 MiB, 130.47 W
2026/09/23 15:44:09.482, 0, 0 %, 0 %, 8893 MiB, 143771 MiB, 129.24 W
2026/09/23 15:44:09.732, 0, 0 %, 0 %, 8893 MiB, 143771 MiB, 128.19 W
